sn,Subbasin,per25dependable
0,2,41406.01618427999
1,5,9545.40594172
2,6,9176.59894833
3,7,4915.3072951125
4,8,12057.975281879999
5,9,15380.36705392
6,10,14070.463212959998
7,11,15861.139505199999
8,12,21213.171804
9,13,29669.75979396
10,14,10804.92356625
11,15,6719.637689028
12,16,68858.06300504999
13,17,7334.603583788249
14,19,51813.98834964
15,20,19059.174914119994
16,21,74120.33894149499
17,22,30707.38321013
18,23,32484.8906110575
19,24,26007.35917065
20,25,16722.5549106
21,26,44657.226630720004
22,27,26886.208532480003
23,28,12998.174592545998
24,31,18721.27541856
25,33,17384.800512749996
26,34,15208.9252833672
27,35,15880.47614912
28,36,15187.17359742
29,37,9385.673072159998
30,38,25678.347064039997
31,39,22761.956332280002
32,40,14447.390672
33,41,11630.637159966
34,42,45316.61064127999
35,43,17253.06682077
36,44,19657.204456296
37,45,35327.304766215006
38,47,47693.3756299
39,48,28717.749437849998
40,49,20405.998082777995
41,50,8362.223344035
42,51,21927.765559699998
43,53,11049.597759716999
44,54,9023.87302245
45,55,16047.290665999997
46,56,4956.23168282
47,57,14448.9432971664
48,58,20143.940571149997
49,59,16573.172472560003
50,60,5065.044984846
51,61,15446.20485837
52,63,12457.75290012
53,64,19054.16919252
54,65,16997.693582869997
55,66,36960.297200639994
56,67,18420.431483739998
57,68,14640.054248159997
58,70,12241.83819375
59,71,12724.9633764
60,72,10424.896272779999
61,73,47884.70171759999
62,74,30979.803882005
63,75,22686.48632448
64,76,6882.072968319999
65,77,8695.134844
66,78,11243.841336750002
67,79,28733.650247610003
68,80,34009.37143384
69,81,41866.6575822
70,82,34011.828088149996
71,83,12466.57708428
72,84,12241.8373605
73,85,11362.75152232
74,86,17308.95173172
75,87,23152.934341679997
76,88,15715.268449320003
77,89,13412.467419120001
78,90,52933.32616021999
79,91,22485.07310115
80,93,7191.1088172
81,94,5807.76470989
82,95,4477.0666485599995
83,96,39129.333175349995
84,98,32653.534631079998
85,99,22037.893940205002
86,100,17445.53377215
87,101,17428.93127701
88,102,12165.2056911
89,103,3331.730313648
90,105,4662.405002870999
91,106,3578.3301312
92,107,4142.340444528
93,108,12850.05399942
94,109,37699.3691443875
95,110,3346.601416389
96,111,5758.90036348
97,114,6608.922031700999
98,115,9995.570342999998
99,116,6947.34766242
100,117,10794.817365859999
101,118,5828.293779
102,119,6054.939167749999
103,121,4006.172902644
104,122,8010.570029549999
105,123,2113.4537534879996
106,125,3094.7393751119994
107,126,2882.1514310324997
108,127,15264.98429335
109,128,6939.817682159999
110,129,70672.21510503
111,130,26769.14839522
112,131,130123.58773985998
113,132,44211.63312785999
114,133,48792.33121224
115,134,15482.1828491
116,135,45298.559691
117,136,12690.708002279998
118,137,7462.879937369999
119,138,142.00039854
120,140,9049.29140258
121,141,8112.326616206998
122,142,10348.935002999999
123,143,17740.272462
124,144,16825.5192798
125,146,24055.783292199998
126,147,53718.51385582
127,148,7547.52544975
128,149,47629.801810139994
129,150,9236.834786143798
130,151,5472.5659886700005
131,152,34662.74737859999
132,153,17176.807364145003
133,154,14337.842772330001
134,156,13934.489911649998
135,157,8535.3558235
136,158,9174.276480599998
137,159,26780.828399324997
138,160,29311.85549908
139,161,25292.866016
140,163,5567.639580360001
141,164,8368.719544350002
142,165,15100.92022362
143,166,5360.925403844999
144,167,7152.533341800001
145,168,114445.46097600002
146,169,57.89283013800001
147,170,7710.387373039999
148,171,26663.834749859994
149,173,12469.9234989384
150,174,17348.418318
151,175,11711.75887365
152,177,22340.384121495
153,178,11263.077829574999
154,179,30933.168873750004
155,180,68928.7221051
156,181,28714.14213195
157,182,35251.1038704
158,183,59232.38114450249
159,184,28412.22522666
160,185,50368.661296800004
161,186,14496.827088974998
162,187,17036.22993996
163,188,8218.360326220001
164,189,1499.9362413749998
165,190,25585.166227499994
166,191,17317.804371367503
167,192,26224.026001800004
168,193,23703.69292698
169,194,13378.872412289997
170,195,7135.503018335999
171,196,43473.78665322
172,197,20851.00486876
173,198,6163.655292828
174,199,22996.111608855
175,200,28920.1213902975
176,201,22776.123959819997
177,202,26378.039832209997
178,203,24955.27702272
179,204,24413.151990645
180,205,8507.34868005
181,206,16182.345223638002
182,207,19926.77019036
183,208,15814.099891853999
184,209,37486.4434252
185,211,16517.604557684997
186,212,19474.328422395
187,213,22902.87210596
188,214,14080.111536919998
189,215,16569.641903429998
190,216,48475.838681325
191,217,61027.089014100005
192,220,39907.62463842
193,221,37174.45080535999
194,222,6880.858725312
195,223,32442.7661572575
196,224,19989.475119240004
197,225,4580.603813808
198,226,54240.695121360004
199,227,18660.09089318
200,228,12626.9181402375
201,229,22493.842346360005
202,230,37762.3527204
203,231,7197.0163663859985
204,232,53162.311987125
205,233,58696.84972799999
206,234,30749.564736
207,235,23119.489042099995
208,236,50168.009097359994
209,237,24478.879867200005
210,238,24558.48683904
211,239,25594.383550119994
212,240,11104.473281615998
213,241,13585.559708159999
214,242,8735.843028329999
215,243,15262.268220539998
216,244,6778.464085800001
217,245,36144.94424409
218,246,69638.5686550125
219,247,28930.822306209997
220,248,5755.779004536001
221,249,13645.291267739998
222,250,24053.994776624997
223,251,58080.25361600001
224,252,20221.507780319997
225,253,18510.86733925
226,254,75768.48692688
227,255,4821.8126755095
228,256,19410.41299791
229,257,39353.00570586001
230,258,3941.4821523659994
231,259,22617.627188859995
232,260,8237.484389178002
233,262,44383.86300315
234,263,22890.360035069996
235,264,41067.05207296999
236,265,19931.683021250003
237,266,17813.967775065
238,267,16875.62790177
239,268,38294.08420859999
240,269,29742.395151919998
241,270,31648.08105316
242,271,73087.36593245999
243,272,6408.583437564
244,273,19413.77437285
245,274,6093.994699583999
246,275,16611.58287558
247,276,57132.8900312775
248,277,27344.750007079998
249,279,45331.8294748
250,280,37042.6905854775
251,282,12495.62236835
252,283,20537.6470299
253,284,16967.86953224
254,285,16603.3514988
255,286,12638.307792824999
256,287,29691.906956799998
257,288,41217.387626799995
258,289,31381.849001249997
259,290,35334.692577359994
260,291,13961.721038265001
261,292,28500.323460399995
262,293,22477.449452479996
263,294,26918.343163139994
264,295,34876.02033806001
265,296,17544.206426120003
266,297,
267,298,20673.25086816
268,299,13920.5368071
269,300,5064.659733375
270,301,88094.86185500001
271,302,51675.22326087
272,303,13685.021094359998
273,304,30357.309615434995
274,305,3109.397649138
275,306,10738.682468800002
276,307,13657.2935090625
277,308,10016.399119914
278,311,20570.830111259995
279,312,13938.925623590001
280,313,42003.45399007999
281,314,9738.45795681
282,315,58415.9021589
283,316,17558.6829561
284,318,27111.187776749997
285,319,41900.5842308625
286,320,24696.90422925
287,321,48477.13070211
288,322,15086.437322055002
289,323,15918.86646526
290,324,28174.932974925003
291,325,24540.331832499996
292,326,38976.778632329995
293,327,17043.4224873
294,328,7905.891598439999
295,329,30148.6330574
296,330,14770.043181300001
297,331,53992.614781874996
298,332,6708.122170694999
299,333,12635.42403123
300,334,32186.293982040002
301,336,9717.63890559
302,338,16416.8034888
303,339,23024.71636476
304,340,
305,341,19063.327293284998
306,342,7920.511339652999
307,343,22941.538861119996
308,344,34534.24849644
309,345,24780.486470189997
310,347,3219.71149665
311,348,16352.26101036
312,349,44698.137664207505
313,350,65718.43804894498
314,352,29092.400868959998
315,353,7753.148057654999
316,354,29844.590575799997
317,355,28575.412222995
318,356,23476.565497549997
319,357,19424.63247582
320,358,41726.25475721999
321,359,19300.260080969994
322,360,25534.431551474994
323,361,165369.71794101002
324,362,16558.15421898
325,363,20942.9686048
326,364,23367.649717995
327,365,
328,367,
329,368,9551.072397239997
330,369,38700.832951879995
331,370,61113.62012679
332,371,28160.828468849995
333,372,33934.2204608
334,374,17604.94737364
335,375,29921.851104529997
336,376,33147.66521308
337,377,12402.360839879999
338,378,66334.70713253999
339,379,26880.246081562495
340,380,43946.61103271999
341,381,11332.231663499999
342,382,11966.699010419998
343,383,53811.8991608
344,384,31483.903428119997
345,385,23775.193909500005
