FID,OBJECTID,GRIDCODE,Subbasin,Area,Slo1,Lat,Long_,Elev,Cell_ID
0,2,2,2,4630.77,0.996432781,25.8281044,78.94045407,168,2723
1,5,5,5,1067.58,1.223048091,25.80099614,79.01709986,165,2898
2,6,6,6,1026.27,0.996096015,25.81944474,78.98561074,166,2728
4,8,8,8,1348.65,1.149033904,25.79485111,78.99180736,169,3062
6,10,10,10,1573.83,1.213056445,25.79398105,78.92603655,175,3554
7,11,11,11,1234.44,2.217616081,25.81983914,79.14884531,157,1747
8,12,12,12,2157.03,1.427184463,25.81473407,79.05515301,161,2237
9,13,13,13,1418.31,2.302203178,25.81896726,79.21902068,134,1587
10,14,14,14,1208.52,1.572315335,25.78961479,79.12287378,152,2410
11,15,15,15,327.24,3.080907106,25.8023441,79.24751997,122,1758
12,16,16,16,5356.53,1.642733574,25.84277757,79.20136518,156,1088
13,17,17,17,357.21,3.328479528,25.80396274,79.39785753,114,609
14,19,19,19,2476.98,2.532571077,25.79256846,79.19028482,144,2251
15,20,20,20,2131.92,1.415658355,25.77860265,78.93868107,176,3555
16,21,21,21,3609.36,2.854308367,25.80985622,79.27969422,138,1263
17,22,22,22,2388.69,1.688194752,25.82350581,79.33080028,149,769
18,23,23,23,1581.93,2.863901377,25.79638291,79.36675002,135,939
19,24,24,24,2909.52,2.036559343,25.78314506,79.07453059,148,2738
20,25,25,25,1875.96,2.458371878,25.775648,79.393472,130,1276
21,26,26,26,2174.85,3.126616478,25.77743572,79.31499802,135,1434
22,27,27,27,2091.42,1.362672448,25.77457889,79.14227657,160,2578
23,28,28,28,758.16,2.364057541,25.75302328,79.06870099,160,3402
24,31,31,31,2142.45,2.049299717,25.75126707,79.20314677,164,2752
25,33,33,33,1013.31,1.603674889,25.72860311,79.02693993,168,4063
26,34,34,34,839.16,2.33091712,25.75205007,79.35296685,135,1936
27,35,35,35,1235.25,1.124909163,25.73273673,79.12933186,165,3409
28,36,36,36,1698.57,1.146919608,25.73854328,79.09849747,167,3406
29,37,37,37,1049.76,1.105377197,25.74756878,78.91391171,179,4384
30,38,38,38,2872.26,1.464434743,25.76285809,78.98736909,170,3560
31,39,39,39,2600.91,1.778641462,25.73853451,79.29070253,155,2428
32,40,40,40,1615.95,1.17271769,25.7247828,78.91234349,176,4716
33,41,41,41,678.78,3.446876526,25.73081665,79.05171791,146,4067
34,42,42,42,5187.24,2.210306406,25.73981196,79.24189404,153,2590
35,43,43,43,1970.73,1.529956102,25.73431283,79.1658942,164,2914
36,44,44,44,1084.59,2.270328522,25.72930375,79.33384008,133,2265
