cellid,k,zone,a,Aquifer
267,1,3,1,Alluvium
268,1,3,1,Alluvium
269,1,3,1,Alluvium
274,1,3,1,Alluvium
431,1,3,1,Alluvium
432,1,3,1,Alluvium
433,1,3,1,Alluvium
434,1,3,1,Alluvium
435,1,3,1,Alluvium
436,1,3,1,Alluvium
437,1,3,1,Alluvium
438,1,3,1,Alluvium
439,1,3,1,Alluvium
440,1,3,1,Alluvium
441,1,3,1,Alluvium
442,1,3,1,Alluvium
443,1,3,1,Alluvium
444,1,3,1,Alluvium
445,1,3,1,Alluvium
592,1,3,1,Alluvium
593,1,3,1,Alluvium
597,1,3,1,Alluvium
598,1,3,1,Alluvium
599,1,3,1,Alluvium
600,1,3,1,Alluvium
601,1,3,1,Alluvium
602,1,3,1,Alluvium
603,1,3,1,Alluvium
604,1,3,1,Alluvium
605,1,3,1,Alluvium
606,1,3,1,Alluvium
607,1,3,1,Alluvium
608,1,3,1,Alluvium
609,1,3,1,Alluvium
610,1,3,1,Alluvium
611,1,3,1,Alluvium
753,1,3,1,Alluvium
754,1,3,1,Alluvium
755,1,3,1,Alluvium
756,1,3,1,Alluvium
757,1,3,1,Alluvium
758,1,3,1,Alluvium
759,1,3,1,Alluvium
760,1,3,1,Alluvium
761,1,3,1,Alluvium
762,1,3,1,Alluvium
763,1,3,1,Alluvium
764,1,3,1,Alluvium
765,1,3,1,Alluvium
766,1,3,1,Alluvium
767,1,3,1,Alluvium
768,1,3,1,Alluvium
769,1,3,1,Alluvium
770,1,3,1,Alluvium
771,1,3,1,Alluvium
772,1,3,1,Alluvium
773,1,3,1,Alluvium
774,1,3,1,Alluvium
775,1,3,1,Alluvium
776,1,3,1,Alluvium
777,1,3,1,Alluvium
918,1,3,1,Alluvium
919,1,3,1,Alluvium
920,1,3,1,Alluvium
921,1,3,1,Alluvium
922,1,3,1,Alluvium
923,1,3,1,Alluvium
924,1,3,1,Alluvium
925,1,3,1,Alluvium
926,1,3,1,Alluvium
927,1,3,1,Alluvium
928,1,3,1,Alluvium
929,1,3,1,Alluvium
930,1,3,1,Alluvium
931,1,3,1,Alluvium
932,1,3,1,Alluvium
933,1,3,1,Alluvium
934,1,3,1,Alluvium
935,1,3,1,Alluvium
936,1,3,1,Alluvium
937,1,3,1,Alluvium
938,1,3,1,Alluvium
939,1,3,1,Alluvium
940,1,3,1,Alluvium
941,1,3,1,Alluvium
942,1,3,1,Alluvium
943,1,3,1,Alluvium
944,1,3,1,Alluvium
1081,1,3,1,Alluvium
1082,1,3,1,Alluvium
1083,1,3,1,Alluvium
1084,1,3,1,Alluvium
1085,1,3,1,Alluvium
1086,1,3,1,Alluvium
1087,1,3,1,Alluvium
1088,1,3,1,Alluvium
1089,1,3,1,Alluvium
1090,1,3,1,Alluvium
1091,1,3,1,Alluvium
1092,1,3,1,Alluvium
1093,1,3,1,Alluvium
1094,1,3,1,Alluvium
1095,1,3,1,Alluvium
1096,1,3,1,Alluvium
1097,1,3,1,Alluvium
1098,1,3,1,Alluvium
1099,1,3,1,Alluvium
1100,1,3,1,Alluvium
1101,1,3,1,Alluvium
1102,1,3,1,Alluvium
1103,1,3,1,Alluvium
1104,1,3,1,Alluvium
1105,1,3,1,Alluvium
1106,1,3,1,Alluvium
1107,1,3,1,Alluvium
1108,1,3,1,Alluvium
1109,1,3,1,Alluvium
1110,1,3,1,Alluvium
1111,1,3,1,Alluvium
1112,1,3,1,Alluvium
1247,1,3,1,Alluvium
1248,1,3,1,Alluvium
1249,1,3,1,Alluvium
1250,1,3,1,Alluvium
1251,1,3,1,Alluvium
1252,1,3,1,Alluvium
1253,1,3,1,Alluvium
1254,1,3,1,Alluvium
1255,1,3,1,Alluvium
1256,1,3,1,Alluvium
1257,1,3,1,Alluvium
1258,1,3,1,Alluvium
1259,1,3,1,Alluvium
1260,1,3,1,Alluvium
1261,1,3,1,Alluvium
1262,1,3,1,Alluvium
1263,1,3,1,Alluvium
1264,1,3,1,Alluvium
1265,1,3,1,Alluvium
1266,1,3,1,Alluvium
1267,1,3,1,Alluvium
1268,1,3,1,Alluvium
1269,1,3,1,Alluvium
1270,1,3,1,Alluvium
1271,1,3,1,Alluvium
1272,1,3,1,Alluvium
1273,1,3,1,Alluvium
1274,1,3,1,Alluvium
1275,1,3,1,Alluvium
1276,1,3,1,Alluvium
1277,1,3,1,Alluvium
1278,1,3,1,Alluvium
1279,1,3,1,Alluvium
1410,1,3,1,Alluvium
1411,1,3,1,Alluvium
1412,1,3,1,Alluvium
1413,1,3,1,Alluvium
1414,1,3,1,Alluvium
1415,1,3,1,Alluvium
1416,1,3,1,Alluvium
1417,1,3,1,Alluvium
1418,1,3,1,Alluvium
1419,1,3,1,Alluvium
1420,1,3,1,Alluvium
1421,1,3,1,Alluvium
1422,1,3,1,Alluvium
1423,1,3,1,Alluvium
1424,1,3,1,Alluvium
1425,1,3,1,Alluvium
1426,1,3,1,Alluvium
1427,1,3,1,Alluvium
1428,1,3,1,Alluvium
1429,1,3,1,Alluvium
1430,1,3,1,Alluvium
1431,1,3,1,Alluvium
1432,1,3,1,Alluvium
1433,1,3,1,Alluvium
1434,1,3,1,Alluvium
1435,1,3,1,Alluvium
1436,1,3,1,Alluvium
1437,1,3,1,Alluvium
1438,1,3,1,Alluvium
1439,1,3,1,Alluvium
1440,1,3,1,Alluvium
1441,1,3,1,Alluvium
1442,1,3,1,Alluvium
1443,1,3,1,Alluvium
1573,1,3,1,Alluvium
1576,1,3,1,Alluvium
1577,1,3,1,Alluvium
1578,1,3,1,Alluvium
1579,1,3,1,Alluvium
1580,1,3,1,Alluvium
1581,1,3,1,Alluvium
1582,1,3,1,Alluvium
1583,1,3,1,Alluvium
1584,1,3,1,Alluvium
1585,1,3,1,Alluvium
1586,1,3,1,Alluvium
1587,1,3,1,Alluvium
1588,1,3,1,Alluvium
1589,1,3,1,Alluvium
1590,1,3,1,Alluvium
1591,1,3,1,Alluvium
1592,1,3,1,Alluvium
1593,1,3,1,Alluvium
1594,1,3,1,Alluvium
1595,1,3,1,Alluvium
1596,1,3,1,Alluvium
1597,1,3,1,Alluvium
1598,1,3,1,Alluvium
1599,1,3,1,Alluvium
1600,1,3,1,Alluvium
1601,1,3,1,Alluvium
1602,1,3,1,Alluvium
1603,1,3,1,Alluvium
1604,1,3,1,Alluvium
1605,1,3,1,Alluvium
1606,1,3,1,Alluvium
1607,1,3,1,Alluvium
1608,1,3,1,Alluvium
1609,1,3,1,Alluvium
1739,1,3,1,Alluvium
1740,1,3,1,Alluvium
1741,1,3,1,Alluvium
1742,1,3,1,Alluvium
1743,1,3,1,Alluvium
1744,1,3,1,Alluvium
1745,1,3,1,Alluvium
1746,1,3,1,Alluvium
1747,1,3,1,Alluvium
1748,1,3,1,Alluvium
1749,1,3,1,Alluvium
1750,1,3,1,Alluvium
1751,1,3,1,Alluvium
1752,1,3,1,Alluvium
1753,1,3,1,Alluvium
1754,1,3,1,Alluvium
1755,1,3,1,Alluvium
1756,1,3,1,Alluvium
1757,1,3,1,Alluvium
1758,1,3,1,Alluvium
1759,1,3,1,Alluvium
1760,1,3,1,Alluvium
1761,1,3,1,Alluvium
1762,1,3,1,Alluvium
1763,1,3,1,Alluvium
1764,1,3,1,Alluvium
1765,1,3,1,Alluvium
1766,1,3,1,Alluvium
1767,1,3,1,Alluvium
1768,1,3,1,Alluvium
1769,1,3,1,Alluvium
1770,1,3,1,Alluvium
1771,1,3,1,Alluvium
1772,1,3,1,Alluvium
1773,1,3,1,Alluvium
1774,1,3,1,Alluvium
