FID,ID,I,J,K,CELLACTIVE,TOP,COPYOFTA,cellid
0,93,1,93,1,0,154.567000000000010,0,93
1,94,1,94,1,0,153.462999999999990,0,94
2,95,1,95,1,0,154.526999999999990,0,95
3,96,1,96,1,0,154.480999999999990,0,96
4,97,1,97,1,0,152.712999999999990,0,97
5,98,1,98,1,0,152.815000000000000,0,98
6,99,1,99,1,0,153.646999999999990,0,99
7,100,1,100,1,0,154.270000000000010,0,100
8,101,1,101,1,0,153.370000000000000,0,101
9,102,1,102,1,0,152.038999999999990,0,102
10,103,1,103,1,0,152.823000000000010,0,103
11,104,1,104,1,0,153.269000000000010,0,104
12,105,1,105,1,0,153.038000000000010,0,105
13,106,1,106,1,0,152.512000000000000,0,106
14,107,1,107,1,0,152.732000000000000,0,107
15,108,1,108,1,0,153.914999999999990,0,108
16,109,1,109,1,0,152.899000000000000,0,109
17,110,1,110,1,0,149.804000000000000,0,110
18,111,1,111,1,0,145.372000000000010,0,111
19,112,1,112,1,0,144.560000000000000,0,112
20,113,1,113,1,0,144.173000000000000,0,113
21,114,1,114,1,0,143.090000000000000,0,114
22,115,1,115,1,0,137.321000000000000,0,115
23,116,1,116,1,0,137.256000000000000,0,116
24,117,1,117,1,0,116.443000000000000,0,117
25,118,1,118,1,0,124.637000000000000,0,118
26,119,1,119,1,0,138.842999999999990,0,119
27,120,1,120,1,0,141.789999999999990,0,120
28,121,1,121,1,0,133.151000000000010,0,121
29,122,1,122,1,0,129.018000000000000,0,122
30,123,1,123,1,0,138.202000000000000,0,123
31,124,1,124,1,0,140.078000000000000,0,124
32,125,1,125,1,0,142.109000000000010,0,125
33,126,1,126,1,0,145.078000000000000,0,126
34,127,1,127,1,0,142.723999999999990,0,127
35,128,1,128,1,0,143.520999999999990,0,128
36,129,1,129,1,0,142.476000000000000,0,129
37,130,1,130,1,0,141.550000000000010,0,130
38,131,1,131,1,0,140.721000000000000,0,131
39,132,1,132,1,0,141.870000000000000,0,132
40,133,1,133,1,0,141.408999999999990,0,133
41,256,2,90,1,0,158.145000000000010,0,256
42,257,2,91,1,0,154.199999999999990,0,257
43,258,2,92,1,0,155.234000000000010,0,258
44,259,2,93,1,0,155.246000000000010,0,259
45,260,2,94,1,0,154.203000000000000,0,260
46,261,2,95,1,0,154.416000000000000,0,261
47,262,2,96,1,0,154.220000000000000,0,262
48,263,2,97,1,0,154.045999999999990,0,263
49,264,2,98,1,0,154.202000000000000,0,264
50,265,2,99,1,0,156.194999999999990,0,265
51,266,2,100,1,0,155.062999999999990,0,266
52,267,2,101,1,1,154.032999999999990,1,267
53,268,2,102,1,1,152.724999999999990,1,268
54,269,2,103,1,1,153.767000000000000,1,269
55,270,2,104,1,0,153.782999999999990,0,270
56,271,2,105,1,0,152.155000000000000,0,271
57,272,2,106,1,0,153.413999999999990,0,272
58,273,2,107,1,0,151.911000000000000,0,273
59,274,2,108,1,1,151.952000000000000,1,274
60,275,2,109,1,0,151.521999999999990,0,275
61,276,2,110,1,0,149.973000000000010,0,276
62,277,2,111,1,0,150.430000000000010,0,277
63,278,2,112,1,0,147.908999999999990,0,278
64,279,2,113,1,0,144.116000000000010,0,279
65,280,2,114,1,0,138.866000000000010,0,280
66,281,2,115,1,0,138.631000000000000,0,281
67,282,2,116,1,0,134.613000000000000,0,282
68,283,2,117,1,0,120.027000000000000,0,283
69,284,2,118,1,0,126.200000000000000,0,284
70,285,2,119,1,0,138.997000000000010,0,285
71,286,2,120,1,0,146.023000000000000,0,286
72,287,2,121,1,0,143.180000000000010,0,287
73,288,2,122,1,0,134.458000000000000,0,288
74,289,2,123,1,0,134.461000000000010,0,289
75,290,2,124,1,0,146.287000000000010,0,290
76,291,2,125,1,0,145.146999999999990,0,291
77,292,2,126,1,0,145.098000000000010,0,292
78,293,2,127,1,0,144.955999999999990,0,293
79,294,2,128,1,0,143.865000000000010,0,294
80,295,2,129,1,0,143.150000000000010,0,295
81,296,2,130,1,0,140.610000000000010,0,296
82,297,2,131,1,0,141.380000000000000,0,297
83,298,2,132,1,0,142.668000000000010,0,298
84,299,2,133,1,0,141.717999999999990,0,299
85,419,3,87,1,0,158.055000000000010,0,419
86,420,3,88,1,0,155.406000000000010,0,420
87,421,3,89,1,0,155.574000000000010,0,421
88,422,3,90,1,0,156.496000000000010,0,422
89,423,3,91,1,0,156.131000000000000,0,423
90,424,3,92,1,0,155.979000000000010,0,424
91,425,3,93,1,0,155.617999999999990,0,425
92,426,3,94,1,0,154.174000000000010,0,426
93,427,3,95,1,0,155.074999999999990,0,427
94,428,3,96,1,0,155.621000000000010,0,428
95,429,3,97,1,0,157.336999999999990,0,429
96,430,3,98,1,0,156.800000000000010,0,430
97,431,3,99,1,1,155.500000000000000,1,431
98,432,3,100,1,1,154.735999999999990,1,432
99,433,3,101,1,1,155.687000000000010,1,433
100,434,3,102,1,1,152.012000000000000,1,434
101,435,3,103,1,1,154.133999999999990,1,435
102,436,3,104,1,1,153.262000000000000,1,436
103,437,3,105,1,1,152.580999999999990,1,437
104,438,3,106,1,1,154.525000000000010,1,438
105,439,3,107,1,1,151.137000000000000,1,439
106,440,3,108,1,1,150.431000000000010,1,440
107,441,3,109,1,1,151.315000000000000,1,441
108,442,3,110,1,1,149.289999999999990,1,442
109,443,3,111,1,1,141.616000000000010,1,443
110,444,3,112,1,1,140.581999999999990,1,444
111,445,3,113,1,1,136.755000000000000,1,445
112,446,3,114,1,0,130.030000000000000,0,446
113,447,3,115,1,0,133.723999999999990,0,447
114,448,3,116,1,0,134.090000000000000,0,448
115,449,3,117,1,0,126.947000000000000,0,449
116,450,3,118,1,0,117.849999999999990,0,450
117,451,3,119,1,0,139.199000000000010,0,451
